Comparações_AVL	Tamanho_AVL	Comparações_ABB	Tamanho_ABB
17	24596	20	24596
14	4241	23	4241
16	55583	19	55583
14	40108	15	40108
15	34436	19	34436
19	69369	20	69369
17	44542	25	44542
18	45353	29	45353
14	15715	17	15715
13	32409	17	32409
17	33221	19	33221
15	9370	12	9370
18	57279	19	57279
16	37862	24	37862
16	49645	17	49645
15	28107	23	28107
15	52122	21	52122
15	43880	17	43880
15	32556	17	32556
16	37274	25	37274
14	25835	18	25835
14	61867	21	61867
14	27518	28	27518
15	13138	17	13138
15	23370	21	23370
18	65607	26	65607
16	33964	17	33964
15	43162	25	43162
17	64497	22	64497
15	31610	31	31610
16	23690	26	23690
17	19092	22	19092
16	12202	15	12202
13	9272	17	9272
13	35552	21	35552
14	22989	24	22989
18	54992	27	54992
14	10093	21	10093
15	44693	22	44693
13	706	10	706
15	42502	17	42502
17	7914	13	7914
16	56427	25	56427
11	6132	13	6132
14	22127	15	22127
15	36072	25	36072
13	10591	18	10591
11	4249	19	4249
16	56303	21	56303
16	43146	23	43146
13	17874	14	17874
17	12138	25	12138
16	35013	16	35013
12	21743	22	21743
14	25275	19	25275
15	58382	24	58382
13	17349	18	17349
17	35590	27	35590
15	7895	10	7895
12	11845	15	11845
14	43551	18	43551
17	31584	15	31584
14	7288	21	7288
16	55753	28	55753
16	17208	20	17208
16	42839	20	42839
14	8741	15	8741
17	48551	25	48551
14	52932	24	52932
16	53434	18	53434
17	25609	20	25609
10	1785	19	1785
16	37699	20	37699
15	12035	17	12035
13	7916	19	7916
15	59825	17	59825
16	48106	20	48106
16	18506	24	18506
17	40425	28	40425
16	10761	21	10761
17	61652	26	61652
17	34650	15	34650
15	22898	15	22898
11	3016	18	3016
15	56392	26	56392
16	24524	26	24524
16	61397	19	61397
12	3740	17	3740
17	36465	16	36465
15	45643	24	45643
17	61936	27	61936
16	10015	21	10015
16	53579	19	53579
17	45576	15	45576
17	65767	20	65767
9	786	7	786
